complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,Contains word 'pothole'.,
PM-202402,Pothole,Urgent,Contains word 'pothole'.,
PM-202406,Flooding,Standard,Contains word 'flood'.,
PM-202408,Flooding,Standard,Contains word 'flood'.,
PM-202410,Streetlight,Standard,Contains 'streetlight' or 'lights out'.,
PM-202411,Streetlight,Urgent,Contains 'streetlight' or 'lights out'.,
PM-202413,Waste,Standard,Contains words related to waste or animal.,
PM-202418,Noise,Standard,Contains 'music' or 'noise'.,
PM-202419,Road Damage,Standard,Contains words indicating road damage.,
PM-202420,Drain Blockage,Urgent,Contains 'drain' or 'manhole'.,
PM-202427,Flooding,Standard,Contains word 'flood'.,
PM-202428,Waste,Standard,Contains words related to waste or animal.,
PM-202430,Streetlight,Standard,Contains 'streetlight' or 'lights out'.,
PM-202433,Waste,Standard,Contains words related to waste or animal.,
PM-202446,Road Damage,Urgent,Contains words indicating road damage.,
